Category,End Use,Amount,ssc_name,Sector,Taueime,End date,suburb
Electricity,All,1341932.35,EVELEIGH,Residential,2007-07-01,30/06/2008,10856
Electricity,All,1315693.69,EVELEIGH,Residential,2008-07-01,30/06/2009,10856
Electricity,All,1247499.68,EVELEIGH,Residential,2009-07-01,30/06/2010,10856
Electricity,All,1176748.85,EVELEIGH,Residential,2010-07-01,30/06/2011,10856
Electricity,All,1115724.68,EVELEIGH,Residential,2011-07-01,30/06/2012,10856
Electricity,All,1024941.32,EVELEIGH,Residential,2013-07-01,30/06/2014,10856
Electricity,All,10502606.28,FOREST LODGE,Residential,2006-07-01,30/06/2007,10904
Electricity,All,6984716.59,FOREST LODGE,Residential,2007-07-01,30/06/2008,10904
Electricity,All,7035402.26,FOREST LODGE,Residential,2008-07-01,30/06/2009,10904
Electricity,All,6932861.48,FOREST LODGE,Residential,2009-07-01,30/06/2010,10904
Electricity,All,6835656.39,FOREST LODGE,Residential,2010-07-01,30/06/2011,10904
Electricity,All,6557839.76,FOREST LODGE,Residential,2011-07-01,30/06/2012,10904
Electricity,All,5914647.52,FOREST LODGE,Residential,2013-07-01,30/06/2014,10904
Electricity,All,44706282.24,GLEBE (NSW),Residential,2006-07-01,30/06/2007,10953
Electricity,All,29184899.53,GLEBE (NSW),Residential,2007-07-01,30/06/2008,10953
Electricity,All,29482170.08,GLEBE (NSW),Residential,2008-07-01,30/06/2009,10953
Electricity,All,28630182.81,GLEBE (NSW),Residential,2009-07-01,30/06/2010,10953
Electricity,All,28593041.24,GLEBE (NSW),Residential,2010-07-01,30/06/2011,10953
Electricity,All,27122356.72,GLEBE (NSW),Residential,2011-07-01,30/06/2012,10953
Electricity,All,24314866.69,GLEBE (NSW),Residential,2013-07-01,30/06/2014,10953
Electricity,All,13031552.85,HAYMARKET,Residential,2006-07-01,30/06/2007,11089
Electricity,All,8353830.35,HAYMARKET,Residential,2007-07-01,30/06/2008,11089
Electricity,All,9059638.55,HAYMARKET,Residential,2008-07-01,30/06/2009,11089
Electricity,All,9079991.71,HAYMARKET,Residential,2009-07-01,30/06/2010,11089
Electricity,All,9177623.33,HAYMARKET,Residential,2010-07-01,30/06/2011,11089
Electricity,All,9183562.64,HAYMARKET,Residential,2011-07-01,30/06/2012,11089
Electricity,All,8093434.2,HAYMARKET,Residential,2013-07-01,30/06/2014,11089
Electricity,All,10318342.09,MILLERS POINT,Residential,2006-07-01,30/06/2007,11539
Electricity,All,7126551.86,MILLERS POINT,Residential,2007-07-01,30/06/2008,11539
Electricity,All,7492964.31,MILLERS POINT,Residential,2008-07-01,30/06/2009,11539
Electricity,All,7223539.6,MILLERS POINT,Residential,2009-07-01,30/06/2010,11539
Electricity,All,6766822.12,MILLERS POINT,Residential,2010-07-01,30/06/2011,11539
Electricity,All,6230183.67,MILLERS POINT,Residential,2011-07-01,30/06/2012,11539
Electricity,All,5337044.22,MILLERS POINT,Residential,2013-07-01,30/06/2014,11539
Electricity,All,24777836.68,NEWTOWN,Residential,2006-07-01,30/06/2007,11724
Electricity,All,16592879.14,NEWTOWN,Residential,2007-07-01,30/06/2008,11724
Electricity,All,16079290.69,NEWTOWN,Residential,2008-07-01,30/06/2009,11724
Electricity,All,15565754.34,NEWTOWN,Residential,2009-07-01,30/06/2010,11724
Electricity,All,15507804.71,NEWTOWN,Residential,2010-07-01,30/06/2011,11724
Electricity,All,14746793.32,NEWTOWN,Residential,2011-07-01,30/06/2012,11724
Electricity,All,13363018.42,NEWTOWN,Residential,2013-07-01,30/06/2014,11724
Electricity,All,13017685.24,PADDINGTON,Residential,2006-07-01,30/06/2007,11827
Electricity,All,8439115.33,PADDINGTON,Residential,2007-07-01,30/06/2008,11827
Electricity,All,8502121.96,PADDINGTON,Residential,2008-07-01,30/06/2009,11827
Electricity,All,8111002.08,PADDINGTON,Residential,2009-07-01,30/06/2010,11827
Electricity,All,8103460.71,PADDINGTON,Residential,2010-07-01,30/06/2011,11827
Electricity,All,7684506.18,PADDINGTON,Residential,2011-07-01,30/06/2012,11827
Electricity,All,6805080,PADDINGTON,Residential,2013-07-01,30/06/2014,11827
Electricity,All,28197970.61,POTTS POINT,Residential,2006-07-01,30/06/2007,11905
Electricity,All,18369082.77,POTTS POINT,Residential,2007-07-01,30/06/2008,11905
Electricity,All,18258435.32,POTTS POINT,Residential,2008-07-01,30/06/2009,11905
Electricity,All,17968043.43,POTTS POINT,Residential,2009-07-01,30/06/2010,11905
Electricity,All,17795293.08,POTTS POINT,Residential,2010-07-01,30/06/2011,11905
Electricity,All,17065986.78,POTTS POINT,Residential,2011-07-01,30/06/2012,11905
Electricity,All,15767551.66,POTTS POINT,Residential,2013-07-01,30/06/2014,11905
Electricity,All,43438441.73,PYRMONT,Residential,2006-07-01,30/06/2007,11923
Electricity,All,28418369.82,PYRMONT,Residential,2007-07-01,30/06/2008,11923
Electricity,All,30229642.11,PYRMONT,Residential,2008-07-01,30/06/2009,11923
Electricity,All,30917094.18,PYRMONT,Residential,2009-07-01,30/06/2010,11923
Electricity,All,30966410.43,PYRMONT,Residential,2010-07-01,30/06/2011,11923
Electricity,All,28393656.76,PYRMONT,Residential,2011-07-01,30/06/2012,11923
Electricity,All,27110062.8,PYRMONT,Residential,2013-07-01,30/06/2014,11923
Electricity,All,48359874.89,REDFERN,Residential,2006-07-01,30/06/2007,11959
Electricity,All,31197255.62,REDFERN,Residential,2007-07-01,30/06/2008,11959
Electricity,All,31612218.83,REDFERN,Residential,2008-07-01,30/06/2009,11959
Electricity,All,29809528.53,REDFERN,Residential,2009-07-01,30/06/2010,11959
Electricity,All,29611488.86,REDFERN,Residential,2010-07-01,30/06/2011,11959
Electricity,All,28441240.09,REDFERN,Residential,2011-07-01,30/06/2012,11959
Electricity,All,26190318.87,REDFERN,Residential,2013-07-01,30/06/2014,11959
Electricity,All,17434529.96,ROSEBERY (NSW),Residential,2006-07-01,30/06/2007,11994
Electricity,All,11552792.3,ROSEBERY (NSW),Residential,2007-07-01,30/06/2008,11994
Electricity,All,12291539.59,ROSEBERY (NSW),Residential,2008-07-01,30/06/2009,11994
